chou;favorise;absinthe;1
chou;favorise;cosmos;5
chou;favorise;sauge;8
chou;favorise;thym;1
chou;favorise;laitue;6
chou;favorise;epinard;8
chou;favorise;oeillet d'inde;8
chou;favorise;capucine;7
chou;favorise;pomme de terre;4
chou;favorise;feve;5
chou;favorise;pois;3
chou;favorise;melisse citronnelle;10
chou;favorise;coriandre;4
chou;favorise;potiron;10
chou;favorise;chicoree;10
chou;favorise;cerfeuil commun;10
chou;favorise;cumin;8
chou;favorise;camomille allemande;6
chou;favorise;bette;5
chou;favorise;basilic;10
chou;favorise;artichaut;8
chou;favorise;carotte sauvage;8
chou;favorise;coquelicot;9
chou;favorise;concombre;6
chou;favorise;cornichon;8
chou;favorise;panais;5
chou;favorise;trefle blanc;5
chou;favorise;phacelie;6
chou;favorise;matricaire inodore;5
chou;favorise;achillee millefeuille;6
chou;favorise;ray-grass;7
chou;favorise;sarrasin;5
chrysope verte;repousse;puceron;0
ciboulette;favorise;carotte;6
ciboulette;favorise;pommier;10
ciboulette;favorise;pecher;1
ciboulette;favorise;groseillier;9
ciboulette;favorise;rosier d'inde;7
ciboulette;favorise;cassis;6
ciboulette;favorise;fraisier des bois;9
ciboulette;favorise;concombre;6
ciboulette;favorise;courge;1
ciboulette;defavorise;asperge;0
ciboulette;defavorise;radis;0
ciboulette;defavorise;haricot;0
ciboulette chinoise;favorise;tomate;2
ciboulette chinoise;favorise;pomme de terre;4
concombre;favorise;asperge;10
concombre;favorise;celeri;2
concombre;favorise;chou;7
concombre;favorise;haricot;3
concombre;favorise;laitue;6
concombre;favorise;mais;1
concombre;favorise;pois;3
concombre;favorise;fenouil;3
concombre;favorise;tomate;2
coriandre;favorise;chou;7
coriandre;favorise;carotte;6
coriandre;favorise;pois;3
coriandre;favorise;betterave;7
coriandre;favorise;concombre;6
coriandre;favorise;pomme de terre;4
coriandre;favorise;anis;9
coriandre;defavorise;fenouil;0
coriandre;defavorise;sauge;0
coriandre;repousse;puceron;0
cornichon;favorise;asperge;10
cornichon;favorise;celeri;2
cornichon;favorise;chou;7
cornichon;favorise;haricot;3
cornichon;favorise;laitue;6
cornichon;favorise;pois;3
cornichon;favorise;tomate;2
cornichon;favorise;fenouil;3
cornichon;favorise;pomme de terre;4
cosmos;favorise;chou;7
cosmos;favorise;tomate;2
cosmos;repousse;nematode;0
cosmos;attire;araignee;0
cosmos;attire;coccinelle;0
courge;favorise;haricot;3
courge;favorise;asperge;10
courge;favorise;celeri;2
courge;favorise;chou;7
courge;favorise;laitue;6
courge;favorise;mache;9
courge;favorise;pois;3
courge;favorise;oignon;8
courge;favorise;basilic;10
courge;favorise;ciboulette;2
courge;favorise;coriandre;4
courge;favorise;origan;8
courge;favorise;capucine;7
courge;favorise;tanaisie commune;4
courge;favorise;tournesol;7
courge;defavorise;radis;0
courge;defavorise;fenouil;0
courgette;favorise;asperge;10
courgette;favorise;celeri;2
courgette;favorise;chou;7
courgette;favorise;fenouil;3
courgette;favorise;haricot;3
courgette;favorise;pois;3
courgette;favorise;mache;9
courgette;favorise;mais;1
courgette;favorise;oignon;8
courgette;favorise;radis;5
cresson;favorise;poireau;1
cresson;favorise;radis;5
cresson;defavorise;chou;0
cresson;repousse;campagnol;0
cresson;repousse;puceron;0
cresson;repousse;chenille;0
cresson;repousse;fourmi;0
cresson;repousse;escargot;0
cumin;favorise;chou;7
cumin;favorise;pois;3
cumin;favorise;fenouil;3
cumin;favorise;absinthe;1
cumin;favorise;tomate;2
doryphore;defavorise;pomme de terre;0
echalote;defavorise;chou;0
echalote;defavorise;haricot;0
echalote;defavorise;pois;0
echalote;favorise;carotte;6
epinard;favorise;chou;7
epinard;favorise;rosier;1
epinard;favorise;artichaut;8
epinard;favorise;chicoree;10
epinard;favorise;fraisier des bois;9
epinard;favorise;haricot;3
epinard;favorise;navet;7
epinard;favorise;salsifis cultive;8
epinard;favorise;radis;5
fenouil;favorise;celeri;2
fenouil;favorise;poireau;1
fenouil;favorise;basilic;10
fenouil;defavorise;tomate;0
fenouil;defavorise;absinthe;0
fenouil;defavorise;concombre;0
fenouil;defavorise;piment;0
fenouil;defavorise;epinard;0
fenouil;defavorise;haricot;0
fenouil;defavorise;courge;0
fenouil;defavorise;souci;0
fenouil;defavorise;navet;0
fenouil;defavorise;chou;0
fenouil;defavorise;coriandre;0
fenouil;defavorise;cumin;0
fenouil;attire;araignee;0
fenouil;attire;syrphide;0
fenouil;attire;papillon;0
fenouil;repousse;puceron;0
fenouil;repousse;lievre;0
feve;favorise;chou;7
feve;favorise;pomme de terre;4
feve;favorise;mais;1
feve;favorise;laitue;6
feve;favorise;sarriette;2
feve;favorise;basilic;10
feve;defavorise;oignon;0
fraisier des bois;favorise;poireau;1
fraisier des bois;favorise;ail;4
fraisier des bois;favorise;ciboulette;2
fraisier des bois;favorise;oignon;8
fraisier des bois;favorise;pecher;1
fraisier des bois;defavorise;chou;0
framboisier;favorise;souci;2
framboisier;favorise;ail;4
framboisier;favorise;prunier;7
framboisier;favorise;achillee millefeuille;6
framboisier;favorise;rue fetide;4
framboisier;favorise;tanaisie commune;4
framboisier;defavorise;myrtille;0
framboisier;defavorise;ronce;0
fusain d'europe;attire;coccinelle;0
fusain d'europe;attire;chrysope verte;0
genet;favorise;radis;5
genet;repousse;altise du colza;0
genevrier;attire;coccinelle;0
geranium;attire;punaise;0
groseillier;favorise;ciboulette;2
groseillier;favorise;absinthe;1
groseillier;favorise;tanaisie commune;4
groseillier;favorise;carotte;6
groseillier;favorise;oignon;8
groseillier;favorise;navet;7
groseillier;defavorise;mais;0
haricot;favorise;mais;1
haricot;favorise;potiron;10
haricot;favorise;chou;7
haricot;favorise;melon;6
